company_name,name,description,phone,email,state_code,url,language
KPL Trading s.r.o.,BOECK Technology GmbH,"ODJEHLOVÁNÍ. Odjehlovací nástroje a stroje: BOECK GmbH, LOEWER GmbH, OSBORN.",420-602761100,info@kpl-trading.cz,DE,www.brusivo-nastroje.cz,CZ
SHIMADZU Handels GmbH - organizační složka,Shimadzu Corporation,,420-284080221,cz@shimadzu.eu.com,JP,www.shimadzu.com,EN
ATAS elektromotory Náchod a.s.,,"Asynchronní a stejnosměrné motory do 1.5 kW, převodové motory, EC motory, resolvery, axiální a radiální ventilátory.",420-491446111,marketing@atas.cz,,www.atas.cz,CZ
"VALPLAST CZ, spol. s r.o.",ALOK MASTERBATCHES PVT. LTD.,Dodavatel polymerních surovin a aditiv do plastů.,420-533433680,valplast@valplast.cz,IN,www.valplast.cz,CZ
ALTEG Bohemia s.r.o.,,,420-737239539,office@alteg.eu,,www.alteg.eu,EN
BOKI ROBOTIZOVANÉ SYSTÉMY spol. s r.o.,,,420-233025011,boki@boki.cz,,www.boki.cz,CZ
"HBC-radiomatic, CZ s.r.o.",,,420-724308611,klaner@hbc.cz,,www.hbc.cz,CZ
"HONGIA INDUSTRY CO., LTD.",,,886-26791006,hongia@ms29.hinet.net,,www.hongia.com.tw/zh-tw/EN_index.html,EN
"DAHCHING ELECTRIC INDUSTRIAL CO., LTD.",,"Společnost DAHCHING Electric je světovým lídrem v poskytování řešení pro ODPORUOVÉ SVAŘOVÁNÍ již více než 40 let.
Společnost DAHCHING se zavázala k navazování vztahů spolupráce s našimi váženými zákazníky. Společně řešíme jejich jedinečné požadavky tím, že nabízíme přizpůsobené odporové svářečky vhodné pro širokou škálu průmyslových odvětví, včetně automobilového průmyslu, letectví, obrany, železnic a stavebnictví.

Netrpělivě se těšíme na partnerství s jednotlivci a organizacemi, kteří sdílejí naše nadšení pro společné uspokojování potřeb našich zákazníků. Pojďme společně pracovat na tom, aby se to stalo skutečností!",886-65932646,daichen@ms27.hinet.net,,www.dahching.com,EN
"MAU FENG HARDWARE CO., LTD.",,"Mau Feng Hardware Co., Ltd. je předním výrobcem v průmyslu rolovacích dveří na Tchaj-wanu již více než 40 let. Jsme odborníky na mnoho různých výrobních procesů.

1. AC/DC motor a modul dálkového ovládání
Kompletní řada motoru a pohonné jednotky s RF řídicím systémem.

2. Tváření pružin
Zakázková výroba pro všechny druhy průmyslových aplikací; speciálně pro kapacitu torzní pružiny s drátem z vysoce uhlíkové oceli od 4 mm do 12 mm

3. Lisování a lisování
Kapacita lisovací linky od 25T~110T.
Konstrukční kapacita jednoduché děrovací formy a kontinuální děrovací formy.

4. Vstřikování a lisování plastů
Všechny druhy plastových materiálů používaných v průmyslu.
Max. Vstřikovací kapacita až 450 tun.

Nejsme jen výrobcem, ale také poskytovatelem řešení.
Neustále také posilujeme naše schopnosti OEM a kontroly nákladů.
Když potřebujete řešení pro rolovací vrata a další průmyslové aplikace, MAU FENG Hardware je naprosto vaše nejlepší volba.",886-48295442,service@maufeng.com.tw,,www.maufeng.com.tw,EN
